2023-08_DD 16:10:25:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:10:25:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:16:12:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:16:12:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:29:36:	 controller:Customers	 action:GetAllCustomers	 Method:GET
2023-08_DD 16:29:53:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:29:53:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:33:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:33:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:53:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 16:42:53:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 16:42:55:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:42:55:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:43:19:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:43:19:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:43:44:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 16:43:44:	 controller:Products	 action:Post	 Method:POST
2023-08_DD 16:43:47:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:43:47:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:49:02:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:49:02:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:52:48:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:52:48:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:53:09:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:53:09:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:54:12:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:54:12:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:57:14:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:57:14:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:57:52:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:57:52:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:58:27:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:58:27:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:58:52:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:58:52:	 controller:Products	 action:Get	 Method:GET
2023-08_DD 16:58:54:	 controller:Products	 action:Get	 Method:GET
